MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1186.9499512	1186.9499512	1162.9499512	1821.7	5484.8925781
1197.9100342	1197.9100342	1173.9100342	1825.7	5480.1118164
1208.8900146	1208.8900146	1184.8900146	1829.7	5489.897461
1219.8499756	1219.8499756	1195.8499756	1833.7	5480.0507813
1230.8299561	1230.8299561	1206.8299561	1837.7	5489.897461
1241.8100586	1241.8100586	1217.8100586	1841.7	5490.12207
1252.780029	1252.780029	1228.780029	1845.7	5485.0561523
1263.75	1263.75	1239.75	1849.7	5484.8925781
1274.709961	1274.709961	1250.709961	1853.7	5480.0507813
1285.6899414	1285.6899414	1261.6899414	1857.7	5489.897461
1296.6500244	1296.6500244	1272.6500244	1861.7	5480.1118164
1307.63	1307.63	1283.63	1865.7	5489.897461
1318.6	1318.6	1294.6	1869.7	5485.0561523
1329.5799561	1329.5799561	1305.5799561	1873.7	5490.0610352
1340.5500488	1340.5500488	1316.5500488	1877.7	5484.9536133
1351.51001	1351.51001	1327.51001	1881.7	5480.0507813
1362.49	1362.49	1338.49	1885.7	5489.897461
1373.4499512	1373.4499512	1349.4499512	1889.7	5480.0507813
1384.4300537	1384.4300537	1360.4300537	1893.7	5489.9584961
1406.37	1406.37	1382.37	1901.7	5485.0561523
1417.3499756	1417.3499756	1393.3499756	1905.7	5489.897461
1428.3199463	1428.3199463	1404.3199463	1909.7	5485.0561523
1430.4300537	1430.4300537	1406.4300537	1910.469971	5480.1435547
1433.3499756	1433.3499756	1409.3499756	1911.540039	5457.6826172
1433.37	1433.37	1409.37	1911.5500488	3998.4760742
1433.530029	1433.530029	1409.530029	1911.6	6407.9428711
1433.5500488	1433.5500488	1409.5500488	1911.6099854	3998.4760742
1433.63	1433.63	1409.63	1911.6400146	5323.1748047
1433.6500244	1433.6500244	1409.6500244	1911.6500244	3998.4760742
1433.8	1433.8	1409.8	1911.7	6007.140625
1433.8299561	1433.8299561	1409.8299561	1911.709961	6045.30127
1433.8599854	1433.8599854	1409.8599854	1911.719971	5997.7143555
1433.88	1433.88	1409.88	1911.72998	3998.4760742
1434.0799561	1434.0799561	1410.0799561	1911.8	5705.1430664
1434.1099854	1434.1099854	1410.1099854	1911.8100586	5997.7143555
1434.1899414	1434.1899414	1410.1899414	1911.8399658	5344.3823242
1434.209961	1434.209961	1410.209961	1911.8499756	3998.4760742
1434.24	1434.24	1410.24	1911.8599854	5997.7143555
1434.26001	1434.26001	1410.26001	1911.87	3998.4760742
1434.3399658	1434.3399658	1410.3399658	1911.9	5323.1748047
1434.3599854	1434.3599854	1410.3599854	1911.9100342	3998.4760742
1434.4100342	1434.4100342	1410.4100342	1911.9200439	9996.19043
1434.4399414	1434.4399414	1410.4399414	1911.9300537	5973.3334961
1434.49	1434.49	1410.49	1911.9499512	5028.0239258
1434.52002	1434.52002	1410.52002	1911.959961	5997.7143555
1434.540039	1434.540039	1410.540039	1911.969971	3998.4760742
1434.5699463	1434.5699463	1410.5699463	1911.97998	5973.3334961
1434.719971	1434.719971	1410.719971	1912.040039	5003.960449
1434.74	1434.74	1410.74	1912.0500488	3998.4760742
1434.8	1434.8	1410.8	1912.0600586	11995.428711
1434.8199463	1434.8199463	1410.8199463	1912.0699463	4021.97583
1434.8499756	1434.8499756	1410.8499756	1912.0799561	5997.7143555
1434.87	1434.87	1410.87	1912.0899658	3998.4760742
1435.1800537	1435.1800537	1411.1800537	1912.2	5635.8828125
1435.2	1435.2	1411.2	1912.209961	3974.0952148
1435.51001	1435.51001	1411.51001	1912.3199463	5641.9956055
1435.530029	1435.530029	1411.530029	1912.3299561	3998.4760742
1435.63	1435.63	1411.63	1912.37	4992
1435.709961	1435.709961	1411.709961	1912.4	5323.1748047
1435.8100586	1435.8100586	1411.8100586	1912.4300537	6664.1269531
1435.8399658	1435.8399658	1411.8399658	1912.4399414	6045.30127
1435.8599854	1435.8599854	1411.8599854	1912.4499512	3998.4760742
1436.040039	1436.040039	1412.040039	1912.52002	5137.415039
1436.0699463	1436.0699463	1412.0699463	1912.530029	5973.3334961
1436.0899658	1436.0899658	1412.0899658	1912.540039	3998.4760742
1436.12	1436.12	1412.12	1912.5500488	5997.7143555
1436.1899414	1436.1899414	1412.1899414	1912.5699463	7026.9702148
1436.219971	1436.219971	1412.219971	1912.5799561	5997.7143555
1436.24	1436.24	1412.24	1912.5899658	4046.6506348
1436.27002	1436.27002	1412.27002	1912.6	5997.7143555
1436.4200439	1436.4200439	1412.4200439	1912.6600342	4994.0317383
1436.5	1436.5	1412.5	1912.6899414	5344.3823242
1436.52002	1436.52002	1412.52002	1912.7	3998.4760742
1436.5500488	1436.5500488	1412.5500488	1912.709961	5997.7143555
1436.75	1436.75	1412.75	1912.780029	5705.1430664
1436.780029	1436.780029	1412.780029	1912.790039	5997.7143555
1436.88	1436.88	1412.88	1912.8199463	6682.5180664
1436.9300537	1436.9300537	1412.9300537	1912.8399658	4998.0952148
1436.9499512	1436.9499512	1412.9499512	1912.8499756	3974.0952148
1436.97998	1436.97998	1412.97998	1912.8599854	5997.7143555
1437.030029	1437.030029	1413.030029	1912.88	4998.0952148
1437.0600586	1437.0600586	1413.0600586	1912.8900146	6069.9760742
1437.13	1437.13	1413.13	1912.9200439	4656.7617188
1437.1800537	1437.1800537	1413.1800537	1912.9300537	9996.19043
1437.209961	1437.209961	1413.209961	1912.9399414	6045.30127
1437.3399658	1437.3399658	1413.3399658	1912.99	5193.1430664
1437.3900146	1437.3900146	1413.3900146	1913.01001	4998.0952148
1437.49	1437.49	1413.49	1913.0500488	4992
1437.51001	1437.51001	1413.51001	1913.0600586	3998.4760742
1437.540039	1437.540039	1413.540039	1913.0699463	6069.9760742
1437.6099854	1437.6099854	1413.6099854	1913.0899658	6985.1430664
1437.6700439	1437.6700439	1413.6700439	1913.1099854	5997.7143555
1437.6899414	1437.6899414	1413.6899414	1913.12	3974.0952148
1437.77002	1437.77002	1413.77002	1913.1500244	5331.3017578
1437.790039	1437.790039	1413.790039	1913.1600342	3998.4760742
1437.8199463	1437.8199463	1413.8199463	1913.1700439	5973.3334961
1437.8399658	1437.8399658	1413.8399658	1913.1800537	3998.4760742
1437.87	1437.87	1413.87	1913.1899414	6144
1437.8900146	1437.8900146	1413.8900146	1913.2	3998.4760742
1437.9399414	1437.9399414	1413.9399414	1913.219971	4985.9047852
1438	1438	1414	1913.24	5997.7143555
1438.12	1438.12	1414.12	1913.280029	5991.619141
1438.1700439	1438.1700439	1414.1700439	1913.3	4998.0952148
1438.2	1438.2	1414.2	1913.3100586	5973.3334961
1438.219971	1438.219971	1414.219971	1913.3199463	4046.6506348
1438.3299561	1438.3299561	1414.3299561	1913.3599854	5491.80957
1438.4	1438.4	1414.4	1913.3900146	4664.8886719
1438.4499512	1438.4499512	1414.4499512	1913.4	9971.80957
1438.47998	1438.47998	1414.47998	1913.4100342	5997.7143555
1438.5	1438.5	1414.5	1913.4200439	3998.4760742
1438.530029	1438.530029	1414.530029	1913.4300537	5997.7143555
1438.6800537	1438.6800537	1414.6800537	1913.49	5013.9282227
1438.76001	1438.76001	1414.76001	1913.52002	5323.1748047
1438.8100586	1438.8100586	1414.8100586	1913.540039	4998.0952148
1438.8299561	1438.8299561	1414.8299561	1913.5500488	3974.0952148
1438.8599854	1438.8599854	1414.8599854	1913.5600586	5997.7143555
1439.01001	1439.01001	1415.01001	1913.6099854	6007.140625
1439.040039	1439.040039	1415.040039	1913.62	5997.7143555
1439.1600342	1439.1600342	1415.1600342	1913.6700439	4793.29541
1439.1899414	1439.1899414	1415.1899414	1913.6800537	5973.3334961
1439.209961	1439.209961	1415.209961	1913.6899414	4046.6506348
1439.25	1439.25	1415.25	1913.7	7996.9521484
1439.290039	1439.290039	1415.290039	1913.719971	3998.4760742
