MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
22	22	0	0	1500
23.57	23.57	1.57	0.05	62799.9492188
23.81	23.81	1.81	0.65	800.005188
24.31	24.31	2.31	1.75	909.0909424
24.98	24.98	2.98	2.9	1165.2150879
25.53	25.53	3.53	3.64	1486.4921875
26.28	26.28	4.28	4.65	1485.14856
27.96	27.96	5.96	6.9	1493.3309326
30.95	30.95	8.95	10.9	1495
42.87	42.87	20.87	26.9	1490
45.86	45.86	23.86	30.9	1495
48.84	48.84	26.84	34.9	1489.9985352
54.8	54.8	32.8	42.9	1490
57.78	57.78	35.78	46.9	1490
60.77	60.77	38.77	50.9	1495
69.71	69.71	47.71	62.9	1490
72.69	72.69	50.69	66.9	1490
75.68	75.68	53.68	70.9	1495.0015869
78.66	78.66	56.66	74.9	1490
84.62	84.62	62.62	82.9	1490
87.6	87.6	65.6	86.9	1489.9971924
90.58	90.58	68.58	90.9	1490
93.56	93.56	71.56	94.9	1490
96.55	96.55	74.55	98.9	1495.0020752
99.53	99.53	77.53	102.9	1490
102.51	102.51	80.51	106.9	1490
105.5	105.5	83.5	110.9	1494.9984131
108.48	108.48	86.48	114.9	1490
111.46	111.46	89.46	118.9	1489.99707
114.44	114.44	92.44	122.9	1490
117.42	117.42	95.42	126.9	1490.0018311
120.4	120.4	98.4	130.9	1490.0032959
123.39	123.39	101.39	134.9	1495.001221
126.37	126.37	104.37	138.9	1489.997681
129.35	129.35	107.35	142.9	1490.0031738
132.33	132.3299866	110.33	146.9	1489.994141
135.32	135.32	113.320015	150.9	1495.0101318
138.3	138.3	116.3	154.9	1489.994141
144.26	144.26	122.26	162.9	1489.9969482
147.24	147.24	125.24	166.9	1490.00647
150.23	150.23	128.23	170.9	1494.997681
153.21	153.21	131.21	174.9	1490
156.19	156.19	134.19	178.9	1490
159.17	159.17	137.17	182.9	1490
162.15	162.15	140.15	186.9	1490
165.14	165.14	143.14	190.9	1494.9989014
171.1	171.1	149.1	198.9	1490
174.08	174.08	152.08	202.9	1490
177.06	177.06	155.06	206.9	1490.001221
180.05	180.05	158.05	210.9	1495.0043945
183.03	183.03	161.03	214.9	1490
186.01	186.01	164.01	218.9	1489.9938965
188.99	188.99	166.99	222.9	1490.0061035
191.97	191.97	169.97	226.9	1489.9938965
194.96	194.96	172.96	230.9	1495.0042725
197.94	197.9399872	175.9399872	234.9	1489.9937744
200.92	200.92	178.92	238.9	1490.0075684
203.9	203.9	181.9	242.9	1489.9938965
206.88	206.88	184.88	246.9	1490.0059814
209.87	209.87	187.87	250.9	1494.9920654
212.85	212.85	190.85	254.9	1490
215.83	215.83	193.83	258.9	1490.004761
218.81	218.8100128	196.8100128	262.9	1490.0026855
221.79	221.79	199.79	266.9	1489.9937744
224.78	224.78	202.78	270.9	1495.0097656
227.76	227.76	205.76	274.9	1489.9936523
230.74	230.74	208.74	278.9	1490
233.72	233.72	211.72	282.9	1489.9936523
236.7	236.7	214.7	286.9	1490.004761
239.69	239.6899872	217.6899872	290.9	1494.9984131
242.67	242.67	220.67	294.9	1490.00354
245.65	245.65	223.65	298.9	1489.9936523
251.62	251.62	229.62	306.9	1492.5015869
257.5799866	257.5799866	235.5799866	314.9	1490
260.56	260.56	238.5600128	318.9	1490.010498
263.54	263.54	241.54	322.9	1490
266.53	266.53	244.53	326.9	1494.9920654
269.51001	269.51001	247.51001	330.9	1490.0108643
272.49	272.49	250.49	334.9	1489.9871826
275.47	275.47	253.47	338.9	1490
278.4500122	278.4500122	256.4500122	342.9	1490
281.44	281.44	259.44	346.9	1495.0031738
284.4200134	284.4200134	262.4200134	350.9	1490.01123
290.38	290.38	268.38	358.9	1489.9989014
293.3599854	293.3599854	271.3599854	362.9	1489.9871826
296.34	296.34	274.34	366.9	1490
299.3299866	299.3299866	277.3299866	370.9	1494.9920654
302.31	302.31	280.31	374.9	1490.0228271
305.29	305.29	283.29	378.9	1490
308.269989	308.269989	286.269989	382.9	1489.9873047
311.26001	311.26001	289.26001	386.9	1495.00415
314.24	314.24	292.24	390.9	1489.998291
320.2	320.2	298.2	398.9	1490
323.18	323.18	301.18	402.9	1489.998291
326.1700134	326.1700134	304.1700134	406.9	1495.017334
332.13	332.13	310.13	414.9	1489.9931641
335.1099854	335.1099854	313.1099854	418.9	1489.998291
338.09	338.09	316.09	422.9	1490
341.0799866	341.0799866	319.0799866	426.9	1494.9920654
344.06	344.06	322.06	430.9	1490.0130615
347.04	347.04	325.04	434.9	1490.0101318
350.019989	350.019989	328.019989	438.9	1489.9873047
353	353	331	442.9	1489.9989014
355.99	355.99	333.99	446.9	1495.0031738
358.97	358.97	336.97	450.9	1489.998779
361.9500122	361.9500122	339.9500122	454.9	1489.998779
364.93	364.93	342.93	458.9	1489.9871826
367.91	367.91	345.91	462.9	1490.0249023
370.9	370.9	348.9	466.9	1494.9920654
373.88	373.88	351.88	470.9	1489.9986572
376.8599854	376.8599854	354.8599854	474.9	1489.9871826
379.84	379.84	357.84	478.9	1490.0096436
382.82	382.8200378	360.8200378	482.9	1490.0142822
385.81	385.8100281	363.8100281	486.9	1494.9921875
388.79	388.79	366.79	490.9	1490.0096436
391.769989	391.769989	369.769989	494.9	1489.9873047
394.75	394.75	372.75	498.9	1489.9984131
397.730011	397.730011	375.730011	502.9	1489.9984131
400.72	400.72	378.72	506.9	1494.9920654
406.68	406.6799622	384.6799622	514.9	1489.9926758
409.66	409.66	387.66	518.9	1490.0150146
412.65	412.65	390.65	522.9	1494.9920654
415.63	415.63	393.63	526.9	1489.998291
418.6099854	418.6099854	396.6099854	530.9	1490.009399
421.59	421.59	399.59	534.9	1489.9981689
424.57	424.5700378	402.5700378	538.9	1490.0155029
430.54	430.54	408.54	546.9	1492.4951172
433.519989	433.519989	411.519989	550.9	1489.9873047
439.480011	439.480011	417.480011	558.9	1490.0090332
445.44	445.4399719	423.4399719	566.9	1489.9925537
448.43	448.4299622	426.4299622	570.9	1494.9920654
451.41	451.41	429.41	574.9	1490.0163574
454.3900146	454.3900146	432.3900146	578.9	1489.9978027
457.37	457.37	435.37	582.9	1489.9871826
460.3599854	460.3599854	438.3599854	586.9	1495.0144043
463.34	463.34	441.34	590.9	1489.997681
466.32	466.32	444.32	594.9	1490.0072021
469.3	469.3	447.3	598.9	1489.9871826
472.29	472.29	450.29	602.9	1495.012207
475.269989	475.269989	453.269989	606.9	1489.9873047
481.230011	481.230011	459.230011	614.9	1489.9975586
484.21	484.21	462.21	618.9	1490.009399
487.19	487.19	465.19	622.9	1490.0074463
490.18	490.18	468.18	626.9	1494.9920654
493.16	493.16	471.16	630.9	1490.0075684
496.1400146	496.1400146	474.1400146	634.9	1489.9974365
499.12	499.12	477.12	638.9	1489.9871826
502.1	502.1	480.1	642.9	1489.9973145
505.09	505.09	483.09	646.9	1495.0142822
508.07	508.07	486.07	650.9	1490.00769
511.0499878	511.0499878	489.0499878	654.9	1489.9871826
514.030029	514.030029	492.030029	658.9	1490.0177
517.01001	517.01001	495.01001	662.9	1489.9871826
520	520	498	666.9	1494.9920654
522.97998	522.97998	500.97998	670.9	1489.9871826
525.960022	525.960022	503.960022	674.9	1490.039917
528.9500122	528.9500122	506.9500122	678.9	1494.9920654
534.9099731	534.9099731	512.9099731	686.9	1489.9871826
537.8900146	537.8900146	515.8900146	690.9	1490.0177
543.8499756	543.8499756	521.8499756	698.9	1489.9871826
546.8400269	546.8400269	524.8400269	702.9	1495.022583
552.8	552.8	530.8	710.9	1489.998291
555.780029	555.780029	533.780029	714.9	1490.0177
558.76001	558.76001	536.76001	718.9	1489.9871826
561.75	561.75	539.75	722.9	1494.9920654
564.72998	564.72998	542.72998	726.9	1489.9871826
