MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
19	19	0	0	1500
19.01	19.01	0.01	6.16	3.2468681
19.03	19.03	0.03	10.16	10
19.05	19.05	0.05	13.99	10.4432516
23.98	23.98	4.98	781.99	12.83854
26.41	26.41	7.41	785.99	1214.9981689
27.28	27.28	8.28	787.0499878	1641.4969482
32.28	32.28	13.28	791.0499878	2499.994141
37.28	37.28	18.28	795.0499878	2500.0322266
39	39	20	796.43	2492.7067871
54	54	35	808.43	2499.994873
59	59	40	812.43	2500.0322266
94	94	75	840.43	2499.994873
104	104	85	848.43	2500.0136719
129	129	110	868.43	2499.994873
134	134	115	872.43	2500.0322266
169	169	150	900.43	2500
204	204	185	928.43	2499.994873
209	209	190	932.43	2500.0322266
239	239	220	956.43	2499.994873
249	249	230	964.43	2500.0136719
264	264	245	976.43	2499.994873
279	279	260	988.43	2500.0073242
289	289	270	996.43	2499.994873
299	299	280	1004.4299316	2500.0136719
304	304	285	1008.43	2499.9577637
309	309	290	1012.4299316	2500.0322266
314	314	295	1016.43	2499.9577637
319	319	300	1020.43	2500.0322266
329	329	310	1028.4300537	2499.9577637
339	339	320	1036.4300537	2500.0322266
344	344	325	1040.4300537	2499.9577637
349	349	330	1044.4300537	2500.0322266
354	354	335	1048.4300537	2499.9577637
364	364	345	1056.4300537	2499.994873
374	374	355	1064.4300537	2500.0322266
379	379	360	1068.4300537	2499.9577637
384	384	365	1072.4300537	2500.0322266
389	389	370	1076.4300537	2499.9577637
394	394	375	1080.4300537	2500.0322266
399	399	380	1084.4300537	2499.9577637
409	409	390	1092.4300537	2500.0322266
414	414	395	1096.4300537	2499.9577637
419	419	400	1100.4300537	2500.0322266
424	424	405	1104.4300537	2499.9577637
429	429	410	1108.4300537	2500.0322266
434	434	415	1112.4300537	2499.9577637
439	439	420	1116.4300537	2500.0322266
444	444	425	1120.4300537	2499.9577637
454	454	435	1128.4300537	2500.0322266
459	459	440	1132.4300537	2499.9577637
464	464	445	1136.4300537	2500.0322266
469	469	450	1140.4300537	2499.9577637
474	474	455	1144.4300537	2500.0322266
479	479	460	1148.4300537	2499.9577637
489	489	470	1156.4300537	2500.0322266
494	494	475	1160.4300537	2499.9577637
499	499	480	1164.4300537	2500.0322266
504	504	485	1168.4300537	2499.9577637
509	509	490	1172.4300537	2500.0322266
514	514	495	1176.4300537	2499.9577637
524	524	505	1184.4300537	2500.0322266
529	529	510	1188.4300537	2499.9577637
534	534	515	1192.4300537	2500.0322266
539	539	520	1196.4300537	2499.9577637
544	544	525	1200.4300537	2500.0322266
549	549	530	1204.4300537	2499.9577637
559	559	540	1212.4300537	2500.0322266
564	564	545	1216.4300537	2499.9577637
569	569	550	1220.4300537	2500.0322266
574	574	555	1224.4300537	2499.9577637
579	579	560	1228.4300537	2500.0322266
584	584	565	1232.4300537	2499.9577637
594	594	575	1240.4300537	2500.0322266
599	599	580	1244.4300537	2499.9577637
604	604	585	1248.4300537	2500.0322266
609	609	590	1252.4300537	2499.9577637
614	614	595	1256.4300537	2500.0322266
619	619	600	1260.4300537	2499.9577637
629	629	610	1268.4300537	2500.0322266
634	634	615	1272.4300537	2499.9577637
639	639	620	1276.4300537	2500.0322266
644	644	625	1280.4300537	2499.9577637
649	649	630	1284.4300537	2500.0322266
654	654	635	1288.4300537	2499.9577637
659	659	640	1292.4300537	2500.0322266
664	664	645	1296.4300537	2499.9577637
674	674	655	1304.4300537	2500.0322266
679	679	660	1308.4300537	2499.9577637
684	684	665	1312.4300537	2500.0322266
689	689	670	1316.4300537	2499.9577637
694	694	675	1320.4300537	2500.0322266
699	699	680	1324.4300537	2499.9577637
709	709	690	1332.4300537	2500.0322266
714	714	695	1336.4300537	2499.9577637
719	719	700	1340.4300537	2500.0322266
724	724	705	1344.4300537	2499.9577637
729	729	710	1348.4300537	2500.0322266
734	734	715	1352.4300537	2499.9577637
744	744	725	1360.4300537	2500.0322266
749	749	730	1364.4300537	2499.9577637
754	754	735	1368.4300537	2500.0322266
759	759	740	1372.4300537	2499.9577637
764	764	745	1376.4300537	2500.0322266
769	769	750	1380.4300537	2499.9577637
779	779	760	1388.4300537	2500.0322266
784	784	765	1392.4300537	2499.9577637
789	789	770	1396.4300537	2500.0322266
794	794	775	1400.4300537	2499.9577637
799	799	780	1404.4300537	2500.0322266
804	804	785	1408.4300537	2499.9577637
814	814	795	1416.4300537	2500.0322266
819	819	800	1420.4300537	2499.9577637
824	824	805	1424.4300537	2500.0322266
829	829	810	1428.4300537	2499.9577637
834	834	815	1432.4300537	2500.0322266
839	839	820	1436.4300537	2499.9577637
844	844	825	1440.4300537	2500.0322266
849	849	830	1444.4300537	2499.9577637
859	859	840	1452.4300537	2500.0322266
864	864	845	1456.4300537	2499.9577637
879	879	860	1468.4300537	2500.0073242
884	884	865	1472.4300537	2499.9577637
894	894	875	1480.4300537	2500.0322266
899	899	880	1484.4300537	2499.9577637
904	904	885	1488.4300537	2500.0322266
909	909	890	1492.4300537	2499.9577637
914	914	895	1496.4300537	2500.0322266
919	919	900	1500.4300537	2499.9577637
929	929	910	1508.4300537	2500.0322266
934	934	915	1512.4300537	2499.9577637
939	939	920	1516.4300537	2500.0322266
944	944	925	1520.4300537	2499.9577637
949	949	930	1524.4300537	2500.0322266
954	954	935	1528.4300537	2499.9577637
964	964	945	1536.4300537	2500.0322266
969	969	950	1540.4300537	2499.9577637
974	974	955	1544.4300537	2500.0322266
979	979	960	1548.4300537	2499.9577637
984	984	965	1552.4300537	2500.0322266
989	989	970	1556.4300537	2499.9577637
999	999	980	1564.4300537	2500.0322266
1004	1004	985	1568.4300537	2499.9577637
1009	1009	990	1572.4300537	2500.0322266
1014	1014	995	1576.4300537	2499.9577637
1019	1019	1000	1580.4300537	2500.0322266
1024	1024	1005	1584.4300537	2499.9577637
1034	1034	1015	1592.4300537	2500.0322266
1039	1039	1020	1596.4300537	2499.9577637
1044	1044	1025	1600.4300537	2500.0322266
1049	1049	1030	1604.4300537	2499.9577637
1054	1054	1035	1608.4300537	2500.0322266
1059	1059	1040	1612.4300537	2499.9577637
1064	1064	1045	1616.4300537	2500.0322266
1069	1069	1050	1620.4300537	2499.9577637
1079	1079	1060	1628.4300537	2500.0322266
1084	1084	1065	1632.4300537	2499.9577637
