MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
19	19	0	0	1500
19.19	19.19	0.19	3.27	116.2078171
19.21	19.21	0.21	3.74	85.1013336
26.51	26.51	7.51	979.74	14.959021
27.56	27.56	8.56	1119.74	15
29.92	29.92	10.92	1434.8100586	14.9807987
32.45	32.45	13.45	1435.74	5441.1401367
40.84	40.84	21.84	1438.8100586	5465.5913086
51.76	51.76	32.76	1442.8100586	5460.0698242
62.68	62.68	43.68	1446.8100586	5460.0722656
73.6	73.6	54.6	1450.8100586	5459.9047852
106.36	106.36	87.36	1462.8100586	5460.0166016
117.28	117.28	98.28	1466.8100586	5459.9082031
128.2	128.2	109.2	1470.8100586	5460.0664063
139.12	139.12	120.12	1474.8100586	5460.071289
150.04	150.04	131.04	1478.8100586	5459.9086914
182.8	182.8	163.8	1490.8100586	5460.0180664
193.72	193.72	174.72	1494.8100586	5459.9018555
204.64	204.64	185.64	1498.8100586	5460.0722656
226.48	226.48	207.48	1506.8100586	5459.9868164
237.4	237.4	218.4	1510.8100586	5460.0727539
248.32	248.3200226	229.3200226	1514.8100586	5459.9169922
259.24	259.24	240.24	1518.8100586	5460.056641
270.16	270.16	251.16	1522.8100586	5459.9169922
281.07	281.07	262.07	1526.8100586	5455.0751953
291.99	291.99	272.99	1530.8100586	5459.8935547
302.9200134	302.9200134	283.9200134	1534.8100586	5465.084961
313.84	313.84	294.84	1538.8100586	5460.0556641
324.76001	324.76001	305.76001	1542.8100586	5459.91748
335.68	335.68	316.68	1546.8100586	5460.0551758
346.6099854	346.6099854	327.6099854	1550.8100586	5464.9106445
357.53	357.53	338.53	1554.8100586	5460.0805664
368.4500122	368.4500122	349.4500122	1558.8100586	5459.90332
379.37	379.37	360.37	1562.8100586	5460.0693359
390.29	390.29	371.29	1566.8100586	5460.0810547
401.21	401.21	382.21	1570.8100586	5459.8911133
412.13	412.13	393.13	1574.8100586	5460.0810547
423.0499878	423.0500183	404.0500183	1578.8100586	5459.9077148
433.97	433.97	414.97	1582.8100586	5460.0639648
444.8900146	444.8900146	425.8900146	1586.8100586	5459.918457
455.81	455.8100281	436.8100281	1590.8100586	5460.070801
466.730011	466.730011	447.730011	1594.8100586	5460.0629883
477.65	477.65	458.65	1598.8100586	5459.9086914
488.57	488.57	469.57	1602.8100586	5460.0722656
499.49	499.49	480.49	1606.8100586	5459.8989258
510.41	510.41	491.41	1610.8100586	5460.0820313
521.3300171	521.3300171	502.3300171	1614.8100586	5459.90918
543.1699829	543.1699829	524.1699829	1622.8100586	5460.0615234
554.0900269	554.0900269	535.0900269	1626.8100586	5459.9296875
565.01001	565.01001	546.01001	1630.8100586	5460.0615234
575.93	575.93	556.93	1634.8100586	5459.8989258
586.8499756	586.8499756	567.8499756	1638.8100586	5460.0615234
597.77002	597.77002	578.77002	1642.8100586	5459.9296875
619.6099854	619.6099854	600.6099854	1650.8100586	5460.0615234
630.530029	630.530029	611.530029	1654.8100586	5459.9296875
641.4500122	641.4500122	622.4500122	1658.8100586	5460.0615234
652.37	652.37	633.37	1662.8100586	5459.8989258
663.289978	663.289978	644.289978	1666.8100586	5460.0615234
674.210022	674.210022	655.210022	1670.8100586	5459.9296875
696.0499878	696.0499878	677.0499878	1678.8100586	5460.0615234
706.969971	706.969971	687.969971	1682.8100586	5459.8989258
717.8900146	717.8900146	698.8900146	1686.8100586	5460.0922852
728.81	728.81	709.81	1690.8100586	5459.8989258
739.72998	739.72998	720.72998	1694.8100586	5460.0615234
750.6500244	750.6500244	731.6500244	1698.8100586	5459.9296875
761.57	761.57	742.57	1702.8100586	5460.0615234
772.49	772.49	753.49	1706.8100586	5459.8989258
783.4099731	783.4099731	764.4099731	1710.8100586	5460.0615234
794.3300171	794.3300171	775.3300171	1714.8100586	5460.0922852
805.25	805.25	786.25	1718.8100586	5459.8989258
816.1699829	816.1699829	797.1699829	1722.8100586	5460.0615234
827.0900269	827.0900269	808.0900269	1726.8100586	5459.9296875
838.01001	838.01001	819.01001	1730.8100586	5460.0615234
848.93	848.93	829.93	1734.8100586	5459.8989258
859.8499756	859.8499756	840.8499756	1738.8100586	5460.0615234
870.77002	870.77002	851.77002	1742.8100586	5460.0922852
881.69	881.69	862.69	1746.8100586	5459.8989258
892.6099854	892.6099854	873.6099854	1750.8100586	5460.0615234
903.530029	903.530029	884.530029	1754.8100586	5459.9296875
914.4500122	914.4500122	895.4500122	1758.8100586	5460.0615234
925.38	925.38	906.38	1762.8100586	5464.9038086
947.219971	947.219971	928.219971	1770.8100586	5460.0615234
958.1400146	958.1400146	939.1400146	1774.8100586	5459.9296875
969.06	969.06	950.06	1778.8100586	5460.0615234
979.97998	979.97998	960.97998	1782.8100586	5459.8989258
990.9	990.9	971.9	1786.8100586	5460.0922852
1001.82	1001.82	982.82	1790.8100586	5459.8989258
1023.6599731	1023.6599731	1004.6599731	1798.8100586	5460.0615234
1034.5799561	1034.5799561	1015.5799561	1802.8100586	5459.8989258
1045.5	1045.5	1026.5	1806.8100586	5460.0922852
1056.4200439	1056.4200439	1037.4200439	1810.8100586	5459.9296875
1067.3399658	1067.3399658	1048.3399658	1814.8100586	5460.03125
1078.26001	1078.26001	1059.26001	1818.8100586	5459.9296875
1089.1800537	1089.1800537	1070.1800537	1822.8100586	5460.0922852
1100.1	1100.1	1081.1	1826.8100586	5460.03125
1111.02002	1111.02002	1092.02002	1830.8100586	5459.9296875
1121.9399414	1121.9399414	1102.9399414	1834.8100586	5460.03125
1132.8599854	1132.8599854	1113.8599854	1838.8100586	5459.9296875
1143.780029	1143.780029	1124.780029	1842.8100586	5460.0922852
1154.7	1154.7	1135.7	1846.8100586	5459.8686523
1176.540039	1176.540039	1157.540039	1854.8100586	5460.0922852
1187.459961	1187.459961	1168.459961	1858.8100586	5459.8686523
1198.38	1198.38	1179.38	1862.8100586	5460.0922852
1209.3	1209.3	1190.3	1866.8100586	5459.9296875
1220.219971	1220.219971	1201.219971	1870.8100586	5460.03125
1231.1400146	1231.1400146	1212.1400146	1874.8100586	5459.9296875
1242.0600586	1242.0600586	1223.0600586	1878.8100586	5460.0922852
1252.97998	1252.97998	1233.97998	1882.8100586	5459.8686523
1263.9	1263.9	1244.9	1886.8100586	5460.0922852
1274.8199463	1274.8199463	1255.8199463	1890.8100586	5460.03125
1285.74	1285.74	1266.74	1894.8100586	5459.9296875
1296.6600342	1296.6600342	1277.6600342	1898.8100586	5460.0922852
1307.5799561	1307.5799561	1288.5799561	1902.8100586	5459.8686523
1318.5	1318.5	1299.5	1906.8100586	5460.0922852
1329.4200439	1329.4200439	1310.4200439	1910.8100586	5459.9296875
1340.3399658	1340.3399658	1321.3399658	1914.8100586	5460.03125
1351.26001	1351.26001	1332.26001	1918.8100586	5460.0922852
1362.1800537	1362.1800537	1343.1800537	1922.8100586	5459.9296875
1373.1	1373.1	1354.1	1926.8100586	5460.03125
1384.02002	1384.02002	1365.02002	1930.8100586	5459.9296875
1394.9399414	1394.9399414	1375.9399414	1934.8100586	5460.03125
1405.8599854	1405.8599854	1386.8599854	1938.8100586	5459.9296875
1416.780029	1416.780029	1397.780029	1942.8100586	5460.0922852
1427.7	1427.7	1408.7	1946.8100586	5460.03125
1438.62	1438.62	1419.62	1950.8100586	5459.9296875
1449.5500488	1449.5500488	1430.5500488	1954.8100586	5465.097168
1460.469971	1460.469971	1441.469971	1958.8100586	5459.8686523
1471.3900146	1471.3900146	1452.3900146	1962.8100586	5460.0922852
1482.3100586	1482.3100586	1463.3100586	1966.8100586	5459.9296875
1493.22998	1493.22998	1474.22998	1970.8100586	5460.03125
1504.1500244	1504.1500244	1485.1500244	1974.8100586	5460.0922852
1508.6899414	1508.6899414	1489.6899414	1978.8100586	2269.920166
1511.4200439	1511.4200439	1492.4200439	1981.219971	2265.6611328
1512.280029	1512.2799072	1493.2799072	1982.8100586	1081.5927734
1513.5600586	1513.5596924	1494.5596924	1985.219971	1062.1555176
1515.0699463	1515.069458	1496.069458	1988.030029	1074.4674072
1516.4200439	1516.4193115	1497.4193115	1989.219971	2268.8774414
1519.6099854	1519.6088867	1500.6088867	1992.040039	2262.063721
1522.3399658	1522.338501	1503.338501	1994.4399414	2274.7624512
1523.2	1523.1983643	1504.1983643	1996.040039	1074.82373
1524.47998	1524.4782715	1505.4782715	1998.4399414	1066.58728
1525.99	1525.9880371	1506.9880371	2001.26001	1070.73877
1527.3399658	1527.337891	1508.337891	2002.4399414	2287.9255371
1530.530029	1530.5274658	1511.5274658	2005.26001	2262.1501465
1533.26001	1533.25708	1514.25708	2007.6601563	2274.5366211
1535.0799561	1535.0767822	1516.0767822	2009.2598877	2274.9375
1537.8100586	1537.8065186	1518.8065186	2011.6601563	2274.6381836
1542.3499756	1542.3459473	1523.3459473	2015.6600342	2269.692627
1546.9	1546.8953857	1527.8953857	2019.6600342	2274.7580566
1547.8100586	1547.8052979	1528.8052979	2020.4798584	2219.5195313
1551.4399414	1551.4346924	1532.4346924	2023.6599121	2282.6289063
1552.3599854	1552.3546143	1533.3546143	2024.4798584	2243.9328613
1555.0899658	1555.0842285	1536.0842285	2026.88	2274.5366211
1556.9	1556.894043	1537.894043	2028.4801025	2262.2407227
1559.63	1559.6236572	1540.6236572	2030.88	2274.7624512
1562.3599854	1562.3532715	1543.3532715	2033.2901611	2265.0864258
1564.1800537	1564.1730957	1545.1730957	2034.8798828	2289.42041
1568.719971	1568.7125244	1549.7125244	2038.880127	2269.557373
1569.6400146	1569.6324463	1550.6324463	2039.6900635	2271.67627
1571.4499512	1571.4421387	1552.4421387	2041.290039	2262.0881348
1573.25	1573.2419434	1554.2419434	2042.88	2263.8986816
1574.1800537	1574.171875	1555.171875	2043.7	2268.3459473
1576.9200439	1576.911499	1557.911499	2046.0998535	2283.1030273
1577.780029	1577.7713623	1558.7713623	2047.7	1074.82373
1579.0699463	1579.0611572	1560.0611572	2050.1	1074.7194824
1580.6	1580.5909424	1561.5909424	2052.9399414	1077.4198
1581.9200439	1581.9107666	1562.9107666	2054.1	2275.4
1585.1400146	1585.1303711	1566.1303711	2056.9399414	2267.4470215
1587.87	1587.8599854	1568.8599854	2059.3400879	2274.5366211
1588.72998	1588.7197266	1569.7197266	2060.9399414	1074.5910645
1590.01001	1590	1571	2063.3400879	1066.209351
1591.52002	1591.508667	1572.508667	2066.1499023	1074.41687
1592.87	1592.8581543	1573.8581543	2067.3400879	2267.6394043
1596.0699463	1596.0568848	1577.0568848	2070.1599121	2268.7749023
1598.8	1598.7858887	1579.7858887	2072.5700684	2264.6101074
1599.6500244	1599.635498	1580.635498	2074.1599121	1068.8912354
1600.9399414	1600.9249268	1581.9249268	2076.5700684	1069.9814453
1602.4399414	1602.4243164	1583.4243164	2079.3798828	1067.2946777
1602.63	1602.61438	1583.61438	2080.5700684	319.2616577
1603.0699463	1603.0540771	1584.0540771	2083.3798828	313.0048523
1603.4499512	1603.43396	1584.43396	2085.790039	315.2126465
1603.5500488	1603.5340576	1584.5340576	2086.1899414	500.5108643
1603.6	1603.5839844	1584.5839844	2087.3798828	83.8819427
1603.63	1603.6140137	1584.6140137	2088.209961	72.3375549
1603.6600342	1603.644043	1584.644043	2089.780029	38.233681
1603.709961	1603.6938477	1584.6938477	2092.24	40.5751839
1603.8599854	1603.8438721	1584.8438721	2096.22998	75.1724854
1603.9	1603.8839111	1584.8839111	2098.3	38.6711235
1603.9300537	1603.91394	1584.91394	2100.22998	31.1064873
1604.0500488	1604.0338135	1585.0338135	2102.3500977	113.1583939
1604.0899658	1604.07373	1585.07373	2104.3601074	39.7009964
