MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
25	25	0	0	1500
25.19	25.19	0.19	1.2	316.665649
28.07	28.07	3.07	60.18	97.6601944
28.85	28.85	3.85	61.2	1529.4151611
34.21	34.21	9.21	68.18	1535.8156738
61.84	61.84	36.84	104.18	1535
64.91	64.91	39.91	108.18	1535.0030518
95.61	95.61	70.61	148.18	1535
98.68	98.68	73.68	152.18	1535.0050049
101.75	101.75	76.75	156.18	1534.994751
129.38	129.38	104.38	192.18	1535
132.46	132.46	107.46	196.18	1540.001221
147.81	147.81	122.81	216.18	1535
150.88	150.88	125.88	220.18	1535.0028076
153.95	153.95	128.95	224.18	1534.9902344
157.02	157.02	132.02	228.18	1535.0098877
160.09	160.09	135.09	232.18	1534.9901123
163.16	163.16	138.16	236.18	1535.01001
166.23	166.23	141.23	240.18	1534.9957275
169.3	169.3	144.3	244.18	1535.0045166
184.65	184.65	159.65	264.18	1534.9980469
187.72	187.72	162.72	268.18	1535.00769
190.79	190.79	165.79	272.18	1534.9984131
193.86	193.86	168.86	276.18	1534.9960938
196.93	196.9299774	171.9299774	280.18	1534.989502
200	200	175	284.18	1535.0166016
203.07	203.0700226	178.0700226	288.18	1535.005249
218.42	218.4200134	193.4200134	308.18	1534.9980469
221.49	221.49	196.49	312.18	1535.0068359
224.56	224.5600128	199.5600128	316.18	1535
230.7	230.7	205.7	324.18	1534.9920654
233.77	233.77	208.77	328.18	1535.0174561
236.84	236.84	211.84	332.18	1534.98877
239.91	239.91	214.91	336.18	1535.0061035
242.98	242.98	217.98	340.18	1535
246.05	246.0500183	221.0500183	344.18	1535.0063477
252.19	252.1899872	227.1899872	352.18	1534.9915771
255.26	255.26	230.26	356.18	1535.0117188
258.3299866	258.3299866	233.3299866	360.18	1534.9884033
261.4	261.4	236.4	364.18	1535.0065918
264.47	264.47	239.47	368.18	1534.9943848
267.54	267.54	242.54	372.18	1535.0181885
270.6099854	270.6099854	245.6099854	376.18	1534.9821777
273.68	273.68	248.6799774	380.18	1534.994141
276.75	276.75	251.75	384.18	1535.0184326
279.82	279.82	254.8200226	388.18	1535.00708
282.8900146	282.8900146	257.8900146	392.18	1534.9940186
285.96	285.96	260.96	396.18	1534.9819336
289.03	289.03	264.03	400.18	1535.0186768
292.1	292.1	267.1	404.18	1534.9937744
295.1700134	295.1700134	270.1700134	408.18	1535.0074463
298.24	298.24	273.24	412.18	1534.9818115
301.31	301.31	276.31	416.18	1535.0119629
310.519989	310.519989	285.519989	428.18	1535
313.59	313.59	288.59	432.18	1534.9932861
316.66	316.66	291.66	436.18	1535.0079346
319.730011	319.730011	294.730011	440.18	1534.9931641
325.87	325.87	300.87	448.18	1535
328.9500122	328.9500122	303.9500122	452.18	1540.0053711
332.019989	332.019989	307.019989	456.18	1534.9891357
335.09	335.09	310.09	460.18	1535.00415
338.16	338.16	313.16	464.18	1535.0084229
341.230011	341.230011	316.230011	468.18	1534.9925537
353.51001	353.51001	328.51001	484.18	1535
356.5799866	356.5799866	331.5799866	488.18	1534.9925537
359.65	359.65	334.65	492.18	1535.0089111
362.72	362.72	337.72	496.18	1534.9920654
365.79	365.79	340.79	500.18	1535.0090332
