MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
25	25	0	0	1500
25.11	25.11	0.11	1.3	169.2312469
25.44	25.44	0.44	37.3	18.333281
25.47	25.47	0.47	41.3	15
26.28	26.28	1.28	129.3	18.409149
26.31	26.31	1.31	133.3	15
26.38	26.38	1.38	141.3	17.4996452
26.42	26.42	1.42	145.3	20
26.45	26.45	1.45	149.3	15
26.49	26.49	1.49	153.3	20
26.6	26.6	1.6	165.3	18.333389
26.68	26.68	1.68	173.3	20
26.71	26.71	1.71	177.3	14.9983978
26.75	26.75	1.75	181.3	20
26.86	26.86	1.86	193.3	18.3333664
27.11	27.11	2.11	221.3	17.8571453
27.19	27.19	2.19	229.3	20
27.3	27.3	2.3	241.3	18.3335133
27.34	27.34	2.34	245.3	20
27.37	27.37	2.37	249.3	15
27.7	27.7	2.7	285.3	18.3332844
27.73	27.73	2.73	289.3	15
27.84	27.84	2.84	301.3	18.3333874
27.92	27.92	2.92	309.3	20
28.07	28.07	3.07	325.3	18.7496815
28.1	28.1	3.1	329.3	15
28.51	28.51	3.51	373.3	18.636391
28.54	28.54	3.54	377.3	15
28.58	28.58	3.58	381.3	19.9985428
28.61	28.61	3.61	385.3	15
29.27	29.27	4.27	457.3	18.3333511
29.31	29.31	4.31	461.3	20
29.45	29.45	4.45	477.3	17.4998455
29.49	29.49	4.49	481.3	20
29.63	29.63	4.63	497.3	17.5
29.67	29.67	4.67	501.3	20.001011
29.78	29.78	4.78	513.3	18.33334
29.81	29.81	4.81	517.3	15
29.96	29.96	4.96	533.3	18.7496986
30.04	30.04	5.04	541.3	20
30.18	30.18	5.18	557.3	17.5
30.22	30.22	5.22	561.3	19.998489
30.66	30.66	5.66	609.3	18.3334045
30.69	30.69	5.69	613.3	15
30.73	30.73	5.73	617.3	20
31.35	31.35	6.35	685.3	18.23531
31.43	31.43	6.43	693.3	20
33.43	33.43	8.43	913.3	18.1818218
33.47	33.47	8.47	917.3	20
33.51	33.51	8.51	921.3	20
33.98	33.98	8.98	973.3	18.0769444
34.02	34.02	9.02	977.3	20
34.13	34.13	9.13	989.3	18.33333
34.17	34.17	9.17	993.3	20
34.31	34.31	9.31	1009.3	17.5004044
34.46	34.46	9.46	1025.3	18.7493534
34.49	34.49	9.49	1029.3	15.0014048
34.57	34.57	9.57	1037.3	20
34.6	34.6	9.6	1041.3	15
34.89	34.89	9.89	1073.3	18.1251526
34.93	34.93	9.93	1077.3	20
34.96	34.96	9.96	1081.3	14.9983244
35	35	10	1085.3	20
35.04	35.04	10.04	1089.3	20.0012417
35.08	35.08	10.08	1093.3	19.9989624
35.11	35.11	10.11	1097.3	15
35.15	35.15	10.15	1101.3	20.0012417
35.18	35.18	10.18	1105.3	15
35.26	35.26	10.26	1113.3	20
35.29	35.29	10.29	1117.3	15.001861
35.33	35.33	10.33	1121.3	19.9989529
35.37	35.37	10.37	1125.3	20
35.4	35.4	10.4	1129.3	15.0018616
35.44	35.44	10.44	1133.3	19.9970951
35.52	35.52	10.52	1141.3	20
35.55	35.55	10.55	1145.3	15
35.7	35.7	10.7	1161.3	18.7498055
35.73	35.73	10.73	1165.3	15
35.81	35.81	10.81	1173.3	20
35.84	35.84	10.84	1177.3	14.9978456
35.88	35.88	10.88	1181.3	20.0012531
35.96	35.96	10.96	1189.3	20
35.99	35.99	10.99	1193.3	15.0018673
36.03	36.03	11.03	1197.3	19.998806
36.1	36.1	11.1	1205.3	17.49951
36.14	36.14	11.14	1209.3	20.0012569
36.17	36.17	11.17	1213.3	15
36.21	36.21	11.21	1217.3	19.9989243
36.25	36.25	11.25	1221.3	20.0012589
36.31	36.31	11.31	1229.3	15
36.35	36.35	11.35	1233.3	19.9970665
36.39	36.39	11.39	1237.3	20.001261
36.4	36.4	11.4	1238.49	16.8114281
44.41	44.41	19.41	1241.3	5700.8222656
47.8	47.8	22.8	1242.49	5698.3032227
70.6	70.6	45.6	1250.49	5699.9873047
82	82	57	1254.49	5699.9047852
93.4	93.4	68.4	1258.49	5700.0751953
104.8	104.8	79.8	1262.49	5699.9052734
